Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,215000.0,2.40625,1.7977759449018374E-9,215000.0,93.3232558139535,93.3232558139535,-425.82417582417395,0.0,?,?,?,215000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,220000.0,2.453125,1.832797554218107E-9,220000.0,93.44272727272728,93.44272727272728,-426.11232676878245,0.0,?,?,?,220000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,225000.0,2.515625,1.8794930333064665E-9,225000.0,93.47822222222221,93.47822222222221,-419.61756373937885,0.0,?,?,?,225000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,230000.0,2.5625,1.914514642622736E-9,230000.0,93.47652173913043,93.47652173913043,-422.24155934563186,0.0,?,?,?,230000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,235000.0,2.625,1.9612101217110953E-9,235000.0,93.5068085106383,93.5068085106383,-426.5355417529313,0.0,?,?,?,235000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,240000.0,2.671875,1.996231731027365E-9,240000.0,93.63916666666667,93.63916666666667,-426.4137931034486,0.0,?,?,?,240000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,245000.0,2.71875,2.0312533403436344E-9,245000.0,93.76204081632653,93.76204081632653,-425.91190640055254,0.0,?,?,?,245000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,250000.0,2.765625,2.066274949659904E-9,250000.0,93.84599999999999,93.84599999999999,-420.11494252873797,0.0,?,?,?,250000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,255000.0,2.828125,2.112970428748263E-9,255000.0,93.93450980392157,93.93450980392157,-416.94518716577323,0.0,?,?,?,255000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,260000.0,2.890625,2.1596659078366225E-9,260000.0,93.94615384615385,93.94615384615385,-412.03643461288164,0.0,?,?,?,260000.0,2888.0
